order_id,account_id,contact_id,order_date,status,total_amount
ORD0000001,ACC006253,CON006253,2023-11-15,Processing,3224.8
ORD0000002,ACC006367,CON006367,2025-11-15,Delivered,11221.2
ORD0000003,ACC008741,CON008741,2025-11-21,Processing,17362.13
ORD0000004,ACC004450,CON004450,2023-09-12,Processing,2231.38
ORD0000005,ACC008719,CON008719,2025-04-17,Cancelled,2767.52
ORD0000006,ACC001036,CON001036,2025-05-19,Shipped,14950.419999999998
ORD0000007,ACC004379,CON004379,2023-07-29,Delivered,5186.74
ORD0000008,ACC004834,CON004834,2026-05-02,Cancelled,3288.4
ORD0000009,ACC008925,CON008925,2024-05-13,Cancelled,400.07
ORD0000010,ACC006170,CON006170,2023-12-04,Cancelled,307.97
ORD0000011,ACC005892,CON005892,2024-01-29,Cancelled,29772.04
ORD0000012,ACC004428,CON004428,2024-04-06,Processing,12124.02
ORD0000013,ACC006568,CON006568,2025-05-19,Processing,7456.650000000001
ORD0000014,ACC009084,CON009084,2023-10-07,Shipped,3106.08
ORD0000015,ACC005706,CON005706,2024-08-10,Processing,8222.41
ORD0000016,ACC007121,CON007121,2024-03-24,Shipped,7840.18
ORD0000017,ACC009367,CON009367,2023-06-14,Cancelled,21152.56
ORD0000018,ACC007089,CON007089,2025-03-04,Shipped,9220.89
ORD0000019,ACC000353,CON000353,2025-07-29,Shipped,5953.070000000001
ORD0000020,ACC007384,CON007384,2025-08-13,Delivered,4961.9400000000005
ORD0000021,ACC003554,CON003554,2023-09-25,Shipped,7566.71
ORD0000022,ACC007549,CON007549,2025-11-12,Cancelled,11471.36
ORD0000023,ACC007528,CON007528,2024-01-11,Shipped,9994.810000000001
ORD0000024,ACC003710,CON003710,2024-11-17,Delivered,3362.9100000000003
ORD0000025,ACC008003,CON008003,2024-07-18,Cancelled,2981.77
ORD0000026,ACC009627,CON009627,2024-04-28,Shipped,11477.550000000001
ORD0000027,ACC000287,CON000287,2024-02-01,Delivered,4126.68
ORD0000028,ACC003482,CON003482,2024-11-09,Processing,2505.28
ORD0000029,ACC004609,CON004609,2024-03-06,Processing,10703.04
ORD0000030,ACC000131,CON000131,2023-11-17,Shipped,14239.75
ORD0000031,ACC005141,CON005141,2024-09-22,Delivered,2913.24
ORD0000032,ACC001202,CON001202,2024-06-10,Delivered,917.3
ORD0000033,ACC006063,CON006063,2023-08-14,Processing,6295.39
ORD0000034,ACC006579,CON006579,2023-11-22,Processing,9820.7
ORD0000035,ACC001594,CON001594,2025-02-14,Processing,3645.3
ORD0000036,ACC008230,CON008230,2024-09-25,Processing,6522.820000000001
ORD0000037,ACC000851,CON000851,2024-08-11,Cancelled,852.76
ORD0000038,ACC004065,CON004065,2023-12-21,Processing,6295.28
ORD0000039,ACC001470,CON001470,2024-03-11,Shipped,5731.64
ORD0000040,ACC001691,CON001691,2025-05-29,Delivered,1542.58
ORD0000041,ACC000121,CON000121,2025-12-12,Shipped,11169.89
ORD0000042,ACC001635,CON001635,2025-07-22,Delivered,8012.49
ORD0000043,ACC000875,CON000875,2024-02-11,Delivered,11067.98
ORD0000044,ACC007376,CON007376,2025-01-10,Processing,7728.0
ORD0000045,ACC005382,CON005382,2025-12-28,Processing,4686.92
ORD0000046,ACC000302,CON000302,2026-01-22,Processing,14223.73
ORD0000047,ACC002131,CON002131,2025-01-15,Shipped,10951.14
ORD0000048,ACC003296,CON003296,2023-10-12,Delivered,10580.43
ORD0000049,ACC008012,CON008012,2025-02-16,Shipped,10956.18
ORD0000050,ACC009824,CON009824,2024-03-18,Cancelled,13055.039999999999
ORD0000051,ACC007822,CON007822,2023-10-21,Processing,11937.91
ORD0000052,ACC003921,CON003921,2025-10-16,Shipped,2322.0
ORD0000053,ACC000360,CON000360,2026-04-22,Delivered,731.09
ORD0000054,ACC005688,CON005688,2025-03-26,Shipped,8107.219999999999
ORD0000055,ACC004187,CON004187,2023-10-30,Delivered,12901.3
ORD0000056,ACC004932,CON004932,2026-04-19,Delivered,4455.2
ORD0000057,ACC002588,CON002588,2026-06-01,Shipped,20024.41
ORD0000058,ACC008083,CON008083,2023-10-12,Processing,12777.89
ORD0000059,ACC000320,CON000320,2025-06-26,Delivered,12315.89
ORD0000060,ACC007907,CON007907,2025-01-29,Delivered,904.96
ORD0000061,ACC007358,CON007358,2026-05-01,Delivered,15973.82
ORD0000062,ACC004116,CON004116,2024-10-05,Cancelled,358.88
ORD0000063,ACC004465,CON004465,2025-12-08,Cancelled,2627.91
ORD0000064,ACC003295,CON003295,2024-01-05,Delivered,4660.66
ORD0000065,ACC008403,CON008403,2025-07-05,Delivered,8138.42
ORD0000066,ACC008126,CON008126,2025-09-28,Delivered,5568.92
ORD0000067,ACC002963,CON002963,2024-04-02,Cancelled,125.84
ORD0000068,ACC005988,CON005988,2023-12-25,Shipped,8151.780000000001
ORD0000069,ACC003818,CON003818,2025-10-05,Delivered,13956.76
ORD0000070,ACC006606,CON006606,2025-12-13,Processing,10410.34
ORD0000071,ACC004341,CON004341,2026-04-28,Shipped,10765.76
ORD0000072,ACC007478,CON007478,2024-06-11,Processing,1256.9499999999998
ORD0000073,ACC000792,CON000792,2024-07-01,Shipped,16082.689999999999
ORD0000074,ACC005703,CON005703,2023-08-14,Cancelled,9897.84
ORD0000075,ACC007764,CON007764,2024-09-22,Delivered,19301.09
