payment_id,order_id,payment_date,payment_method,amount,status
PAY0000001,ORD0000001,2023-11-15,Debit Card,3224.8,Paid
PAY0000002,ORD0000002,2025-11-15,Credit Card,11221.2,Paid
PAY0000003,ORD0000003,2025-11-21,Credit Card,17362.13,Pending
PAY0000004,ORD0000004,2023-09-12,PayPal,2231.38,Pending
PAY0000005,ORD0000005,2025-04-17,PayPal,2767.52,Paid
PAY0000006,ORD0000006,2025-05-19,Bank Transfer,14950.419999999998,Paid
PAY0000007,ORD0000007,2023-07-29,Debit Card,5186.74,Paid
PAY0000008,ORD0000008,2026-05-02,Bank Transfer,3288.4,Pending
PAY0000009,ORD0000009,2024-05-13,Debit Card,400.07,Paid
PAY0000010,ORD0000010,2023-12-04,PayPal,307.97,Paid
PAY0000011,ORD0000011,2024-01-29,Credit Card,29772.04,Pending
PAY0000012,ORD0000012,2024-04-06,Apple Pay,12124.02,Paid
PAY0000013,ORD0000013,2025-05-19,PayPal,7456.650000000001,Pending
PAY0000014,ORD0000014,2023-10-07,Apple Pay,3106.08,Paid
PAY0000015,ORD0000015,2024-08-10,PayPal,8222.41,Paid
PAY0000016,ORD0000016,2024-03-24,PayPal,7840.18,Paid
PAY0000017,ORD0000017,2023-06-14,PayPal,21152.56,Paid
PAY0000018,ORD0000018,2025-03-04,Apple Pay,9220.89,Pending
PAY0000019,ORD0000019,2025-07-29,PayPal,5953.070000000001,Paid
PAY0000020,ORD0000020,2025-08-13,Bank Transfer,4961.9400000000005,Pending
PAY0000021,ORD0000021,2023-09-25,PayPal,7566.71,Paid
PAY0000022,ORD0000022,2025-11-12,Credit Card,11471.36,Pending
PAY0000023,ORD0000023,2024-01-11,Credit Card,9994.810000000001,Pending
PAY0000024,ORD0000024,2024-11-17,Debit Card,3362.9100000000003,Paid
PAY0000025,ORD0000025,2024-07-18,Credit Card,2981.77,Paid
PAY0000026,ORD0000026,2024-04-28,Debit Card,11477.550000000001,Paid
PAY0000027,ORD0000027,2024-02-01,Debit Card,4126.68,Paid
PAY0000028,ORD0000028,2024-11-09,Bank Transfer,2505.28,Paid
PAY0000029,ORD0000029,2024-03-06,Debit Card,10703.04,Paid
PAY0000030,ORD0000030,2023-11-17,Apple Pay,14239.75,Paid
PAY0000031,ORD0000031,2024-09-22,Bank Transfer,2913.24,Paid
PAY0000032,ORD0000032,2024-06-10,Debit Card,917.3,Paid
PAY0000033,ORD0000033,2023-08-14,Bank Transfer,6295.39,Pending
PAY0000034,ORD0000034,2023-11-22,PayPal,9820.7,Paid
PAY0000035,ORD0000035,2025-02-14,PayPal,3645.3,Paid
PAY0000036,ORD0000036,2024-09-25,Debit Card,6522.820000000001,Pending
PAY0000037,ORD0000037,2024-08-11,PayPal,852.76,Pending
PAY0000038,ORD0000038,2023-12-21,Bank Transfer,6295.28,Paid
PAY0000039,ORD0000039,2024-03-11,Bank Transfer,5731.64,Pending
PAY0000040,ORD0000040,2025-05-29,Debit Card,1542.58,Paid
PAY0000041,ORD0000041,2025-12-12,Bank Transfer,11169.89,Paid
PAY0000042,ORD0000042,2025-07-22,Bank Transfer,8012.49,Paid
PAY0000043,ORD0000043,2024-02-11,Apple Pay,11067.98,Paid
PAY0000044,ORD0000044,2025-01-10,Apple Pay,7728.0,Paid
PAY0000045,ORD0000045,2025-12-28,Credit Card,4686.92,Paid
PAY0000046,ORD0000046,2026-01-22,Credit Card,14223.73,Pending
PAY0000047,ORD0000047,2025-01-15,Bank Transfer,10951.14,Paid
PAY0000048,ORD0000048,2023-10-12,Apple Pay,10580.43,Paid
PAY0000049,ORD0000049,2025-02-16,Bank Transfer,10956.18,Pending
PAY0000050,ORD0000050,2024-03-18,Credit Card,13055.039999999999,Paid
PAY0000051,ORD0000051,2023-10-21,PayPal,11937.91,Paid
PAY0000052,ORD0000052,2025-10-16,Credit Card,2322.0,Paid
PAY0000053,ORD0000053,2026-04-22,PayPal,731.09,Paid
PAY0000054,ORD0000054,2025-03-26,Bank Transfer,8107.219999999999,Pending
PAY0000055,ORD0000055,2023-10-30,Apple Pay,12901.3,Paid
PAY0000056,ORD0000056,2026-04-19,Bank Transfer,4455.2,Pending
PAY0000057,ORD0000057,2026-06-01,Credit Card,20024.41,Paid
PAY0000058,ORD0000058,2023-10-12,Bank Transfer,12777.89,Pending
PAY0000059,ORD0000059,2025-06-26,PayPal,12315.89,Pending
PAY0000060,ORD0000060,2025-01-29,Bank Transfer,904.96,Paid
PAY0000061,ORD0000061,2026-05-01,Bank Transfer,15973.82,Pending
PAY0000062,ORD0000062,2024-10-05,PayPal,358.88,Paid
PAY0000063,ORD0000063,2025-12-08,Credit Card,2627.91,Paid
PAY0000064,ORD0000064,2024-01-05,Debit Card,4660.66,Paid
PAY0000065,ORD0000065,2025-07-05,PayPal,8138.42,Pending
PAY0000066,ORD0000066,2025-09-28,Debit Card,5568.92,Paid
PAY0000067,ORD0000067,2024-04-02,PayPal,125.84,Paid
PAY0000068,ORD0000068,2023-12-25,Bank Transfer,8151.780000000001,Paid
PAY0000069,ORD0000069,2025-10-05,PayPal,13956.76,Pending
PAY0000070,ORD0000070,2025-12-13,PayPal,10410.34,Paid
PAY0000071,ORD0000071,2026-04-28,PayPal,10765.76,Paid
PAY0000072,ORD0000072,2024-06-11,Apple Pay,1256.9499999999998,Paid
PAY0000073,ORD0000073,2024-07-01,PayPal,16082.689999999999,Paid
PAY0000074,ORD0000074,2023-08-14,PayPal,9897.84,Pending
PAY0000075,ORD0000075,2024-09-22,Debit Card,19301.09,Paid
PAY0000076,ORD0000076,2024-11-16,Debit Card,8538.04,Paid
PAY0000077,ORD0000077,2026-06-10,PayPal,7373.2,Paid
PAY0000078,ORD0000078,2025-10-12,Apple Pay,26589.07,Pending
PAY0000079,ORD0000079,2024-09-04,Credit Card,11294.77,Paid
PAY0000080,ORD0000080,2025-02-02,PayPal,5654.02,Pending
