request_id,account_id,contact_id,product_id,order_id,issue_type,status,service_request_date
SR0000001,ACC006537,CON006537,PROD001282,ORD0021434,Technical Issue,Closed,2024-02-06
SR0000002,ACC008626,CON008626,PROD000898,ORD0017248,Refund,Closed,2026-06-04
SR0000003,ACC009478,CON009478,PROD001787,ORD0002385,Technical Issue,In Progress,2023-09-05
SR0000004,ACC008683,CON008683,PROD001915,ORD0044173,Warranty,Open,2026-03-13
SR0000005,ACC007007,CON007007,PROD000121,ORD0039524,Warranty,Open,2023-08-29
SR0000006,ACC004542,CON004542,PROD000681,ORD0025401,Warranty,In Progress,2025-10-24
SR0000007,ACC007539,CON007539,PROD001616,ORD0010526,Return,In Progress,2025-06-08
SR0000008,ACC005391,CON005391,PROD001284,ORD0006348,Refund,Open,2024-05-27
SR0000009,ACC003211,CON003211,PROD000593,ORD0015169,Refund,Open,2026-01-22
SR0000010,ACC007504,CON007504,PROD000153,ORD0049248,Technical Issue,Closed,2026-06-03
SR0000011,ACC004057,CON004057,PROD000466,ORD0004779,Return,Closed,2025-11-04
SR0000012,ACC009633,CON009633,PROD000924,ORD0005726,Return,Open,2025-06-17
SR0000013,ACC006838,CON006838,PROD000728,ORD0013288,Refund,Closed,2023-11-23
SR0000014,ACC001389,CON001389,PROD001068,ORD0033683,Refund,Open,2023-09-11
SR0000015,ACC001135,CON001135,PROD001913,ORD0020303,Technical Issue,Closed,2025-06-02
SR0000016,ACC001270,CON001270,PROD000939,ORD0013582,Warranty,Open,2025-09-03
SR0000017,ACC005561,CON005561,PROD001240,ORD0044218,Warranty,In Progress,2025-11-16
SR0000018,ACC001663,CON001663,PROD001370,ORD0020543,Technical Issue,Open,2024-03-02
SR0000019,ACC009543,CON009543,PROD001814,ORD0034160,Warranty,In Progress,2023-07-11
SR0000020,ACC001201,CON001201,PROD001157,ORD0000543,Refund,Open,2025-01-08
SR0000021,ACC000594,CON000594,PROD001023,ORD0038058,Technical Issue,Closed,2024-12-26
SR0000022,ACC000191,CON000191,PROD000252,ORD0021463,Return,Closed,2025-03-05
SR0000023,ACC008923,CON008923,PROD000990,ORD0047789,Refund,In Progress,2024-12-08
SR0000024,ACC002934,CON002934,PROD001902,ORD0040563,Refund,Open,2024-03-28
SR0000025,ACC009295,CON009295,PROD001315,ORD0006126,Return,In Progress,2025-01-28
SR0000026,ACC006886,CON006886,PROD000519,ORD0045314,Refund,Open,2026-06-21
SR0000027,ACC004817,CON004817,PROD000535,ORD0025795,Warranty,In Progress,2025-12-02
SR0000028,ACC005563,CON005563,PROD001763,ORD0006630,Refund,Open,2024-07-29
SR0000029,ACC006753,CON006753,PROD001903,ORD0036390,Warranty,Closed,2024-01-09
SR0000030,ACC007032,CON007032,PROD000867,ORD0045069,Return,Closed,2024-09-13
SR0000031,ACC005106,CON005106,PROD001992,ORD0012604,Warranty,Open,2024-12-31
SR0000032,ACC000725,CON000725,PROD000875,ORD0024903,Refund,Open,2024-04-07
SR0000033,ACC001816,CON001816,PROD001978,ORD0014373,Warranty,Closed,2023-11-21
SR0000034,ACC008608,CON008608,PROD000012,ORD0003664,Technical Issue,Closed,2025-05-28
SR0000035,ACC006259,CON006259,PROD000887,ORD0046397,Technical Issue,Open,2024-04-29
SR0000036,ACC006017,CON006017,PROD000569,ORD0016095,Technical Issue,Open,2025-06-16
SR0000037,ACC006940,CON006940,PROD000924,ORD0042991,Warranty,Open,2025-10-25
SR0000038,ACC007022,CON007022,PROD000889,ORD0019516,Technical Issue,In Progress,2023-12-17
SR0000039,ACC009766,CON009766,PROD000601,ORD0029504,Refund,Closed,2025-05-29
SR0000040,ACC009461,CON009461,PROD001053,ORD0021349,Technical Issue,Open,2023-12-10
SR0000041,ACC008257,CON008257,PROD000209,ORD0004325,Return,In Progress,2024-01-01
SR0000042,ACC005131,CON005131,PROD000506,ORD0024494,Warranty,Closed,2025-01-17
SR0000043,ACC004206,CON004206,PROD001040,ORD0043807,Return,Open,2025-11-11
SR0000044,ACC005910,CON005910,PROD001327,ORD0044475,Return,Closed,2023-12-28
SR0000045,ACC002867,CON002867,PROD001780,ORD0023909,Refund,Open,2025-09-04
SR0000046,ACC003897,CON003897,PROD000356,ORD0008230,Technical Issue,Closed,2024-08-17
SR0000047,ACC003652,CON003652,PROD001780,ORD0045405,Refund,Closed,2026-06-18
SR0000048,ACC002605,CON002605,PROD000817,ORD0048588,Return,Open,2026-05-23
SR0000049,ACC006613,CON006613,PROD000996,ORD0041336,Refund,In Progress,2024-03-15
SR0000050,ACC001262,CON001262,PROD000481,ORD0024617,Refund,Closed,2023-09-08
SR0000051,ACC005238,CON005238,PROD001158,ORD0035902,Refund,Open,2024-03-30
SR0000052,ACC006355,CON006355,PROD000930,ORD0015197,Technical Issue,In Progress,2026-04-29
SR0000053,ACC006064,CON006064,PROD000045,ORD0030794,Refund,Open,2023-10-15
SR0000054,ACC005964,CON005964,PROD001077,ORD0036242,Warranty,Open,2025-03-26
SR0000055,ACC004107,CON004107,PROD001169,ORD0032010,Technical Issue,Closed,2025-06-24
SR0000056,ACC001819,CON001819,PROD000902,ORD0044995,Warranty,Closed,2026-05-13
SR0000057,ACC007532,CON007532,PROD000577,ORD0009853,Technical Issue,In Progress,2023-12-22
SR0000058,ACC005914,CON005914,PROD000983,ORD0005096,Return,In Progress,2026-01-25
SR0000059,ACC007196,CON007196,PROD001574,ORD0013539,Refund,In Progress,2025-09-19
SR0000060,ACC009797,CON009797,PROD000940,ORD0013129,Technical Issue,In Progress,2024-11-08
SR0000061,ACC004162,CON004162,PROD001011,ORD0021569,Return,Open,2024-07-19
SR0000062,ACC006836,CON006836,PROD000683,ORD0000612,Return,Open,2024-04-11
SR0000063,ACC004956,CON004956,PROD001345,ORD0018848,Refund,In Progress,2023-10-15
SR0000064,ACC008481,CON008481,PROD000946,ORD0042978,Technical Issue,In Progress,2023-06-20
SR0000065,ACC001177,CON001177,PROD001551,ORD0001708,Warranty,Open,2024-10-12
SR0000066,ACC002928,CON002928,PROD001558,ORD0012939,Technical Issue,In Progress,2024-11-30
SR0000067,ACC005045,CON005045,PROD000087,ORD0000724,Refund,Open,2024-03-10
SR0000068,ACC005925,CON005925,PROD000789,ORD0031177,Warranty,Open,2025-05-24
SR0000069,ACC002254,CON002254,PROD000183,ORD0023801,Return,In Progress,2024-06-28
SR0000070,ACC007058,CON007058,PROD001085,ORD0029385,Technical Issue,Closed,2024-01-28
SR0000071,ACC005330,CON005330,PROD000196,ORD0035067,Warranty,In Progress,2024-05-11
SR0000072,ACC002302,CON002302,PROD000603,ORD0030139,Warranty,Closed,2024-01-18
SR0000073,ACC002308,CON002308,PROD000174,ORD0049382,Warranty,Open,2023-08-11
SR0000074,ACC000017,CON000017,PROD001770,ORD0017188,Technical Issue,In Progress,2023-08-03
SR0000075,ACC003025,CON003025,PROD000900,ORD0018625,Refund,Open,2025-09-22
SR0000076,ACC001839,CON001839,PROD000827,ORD0020554,Technical Issue,Closed,2026-02-17
SR0000077,ACC005736,CON005736,PROD000937,ORD0004265,Technical Issue,Open,2023-09-06
SR0000078,ACC003005,CON003005,PROD000799,ORD0047161,Technical Issue,Closed,2023-07-25
SR0000079,ACC002846,CON002846,PROD000758,ORD0043468,Refund,Closed,2023-08-20
SR0000080,ACC004256,CON004256,PROD000101,ORD0042487,Technical Issue,Closed,2023-08-15
SR0000081,ACC007332,CON007332,PROD000668,ORD0026494,Refund,Closed,2025-08-05
SR0000082,ACC000385,CON000385,PROD001168,ORD0000275,Refund,In Progress,2025-09-20
SR0000083,ACC001942,CON001942,PROD000911,ORD0000498,Warranty,Open,2023-08-22
SR0000084,ACC004323,CON004323,PROD000539,ORD0007089,Technical Issue,In Progress,2023-10-11
SR0000085,ACC005543,CON005543,PROD001113,ORD0048760,Return,In Progress,2023-12-10
SR0000086,ACC003924,CON003924,PROD001398,ORD0003034,Return,In Progress,2023-07-06
SR0000087,ACC007751,CON007751,PROD001969,ORD0010794,Refund,Open,2025-05-22
SR0000088,ACC007417,CON007417,PROD001599,ORD0007128,Return,Closed,2023-06-19
SR0000089,ACC001920,CON001920,PROD001556,ORD0048885,Technical Issue,Closed,2023-09-06
SR0000090,ACC003949,CON003949,PROD001792,ORD0022428,Technical Issue,Closed,2025-06-13
SR0000091,ACC004985,CON004985,PROD000286,ORD0033129,Refund,In Progress,2024-11-11
SR0000092,ACC009302,CON009302,PROD000107,ORD0038355,Refund,Open,2025-12-31
SR0000093,ACC000955,CON000955,PROD000622,ORD0041521,Warranty,Closed,2025-07-17
