shipment_id,order_id,carrier,tracking_number,ship_date,status
SHP0000001,ORD0000001,UPS,ByF00570667,2023-11-19,Pending
SHP0000002,ORD0000002,USPS,den45642700,2025-11-22,Delivered
SHP0000003,ORD0000003,DHL,Spd92090859,2025-11-26,Delivered
SHP0000004,ORD0000004,USPS,SUH99492377,2023-09-17,In Transit
SHP0000005,ORD0000005,UPS,TeY43586450,2025-04-18,In Transit
SHP0000006,ORD0000006,DHL,uJJ89768428,2025-05-25,In Transit
SHP0000007,ORD0000007,FedEx,UwQ62703499,2023-07-31,Delivered
SHP0000008,ORD0000008,FedEx,yZi02474916,2026-05-06,Pending
SHP0000009,ORD0000009,DHL,UIf45752533,2024-05-14,Delivered
SHP0000010,ORD0000010,FedEx,zwi89842514,2023-12-09,Delivered
SHP0000011,ORD0000011,UPS,eXX82945726,2024-02-03,Delivered
SHP0000012,ORD0000012,UPS,iFM76280681,2024-04-12,In Transit
SHP0000013,ORD0000013,FedEx,III17057891,2025-05-26,In Transit
SHP0000014,ORD0000014,FedEx,Hbe63947644,2023-10-12,Delivered
SHP0000015,ORD0000015,UPS,qWs83930775,2024-08-11,Pending
SHP0000016,ORD0000016,USPS,rjN97134827,2024-03-26,Delivered
SHP0000017,ORD0000017,USPS,bET72225298,2023-06-19,Delivered
SHP0000018,ORD0000018,USPS,Ida66861454,2025-03-07,Pending
SHP0000019,ORD0000019,UPS,gRc16912437,2025-08-04,Delivered
SHP0000020,ORD0000020,DHL,CiU98876985,2025-08-15,Pending
SHP0000021,ORD0000021,UPS,vHA58468295,2023-09-29,Delivered
SHP0000022,ORD0000022,UPS,ndR48235627,2025-11-15,Delivered
SHP0000023,ORD0000023,DHL,luY11747567,2024-01-13,Delivered
SHP0000024,ORD0000024,DHL,OwJ02920863,2024-11-19,Delivered
SHP0000025,ORD0000025,UPS,dPP07620917,2024-07-19,Delivered
SHP0000026,ORD0000026,UPS,Ntd11028502,2024-04-30,In Transit
SHP0000027,ORD0000027,DHL,ilw63976328,2024-02-07,Delivered
SHP0000028,ORD0000028,USPS,Dsc99310597,2024-11-11,Delivered
SHP0000029,ORD0000029,DHL,RBt54151533,2024-03-13,In Transit
SHP0000030,ORD0000030,DHL,zvc70677542,2023-11-18,In Transit
SHP0000031,ORD0000031,DHL,QYf22146748,2024-09-23,Delivered
SHP0000032,ORD0000032,UPS,TnT51074180,2024-06-14,Delivered
SHP0000033,ORD0000033,FedEx,ZuX86986012,2023-08-18,Delivered
SHP0000034,ORD0000034,USPS,eQn44586563,2023-11-25,Delivered
